amanufacturer,bmodel,cderivative,dncap_safetystar_rating,encap_safetyadult_occupants%_score,fncap_safetychild_occupants%_score,gncap_safetypedestrians%_score,hncap_safetysafety_assist%_score
TESLA,MODEL 3 SALOON,Performance AWD 85kWh 4dr Auto,5,90,93,89,87
TESLA,MODEL 3 SALOON,RWD 4dr Auto,5,90,93,89,87
TOYOTA,AYGO X HATCHBACK,1.0 VVT-i Edge 5dr,4,78,78,74,81
TOYOTA,AYGO X HATCHBACK,1.0 VVT-i Edge 5dr [Parking],4,78,78,74,81
TOYOTA,AYGO X HATCHBACK,1.0 VVT-i Edge 5dr Auto,4,78,78,74,81
TOYOTA,AYGO X HATCHBACK,1.0 VVT-i Edge 5dr Auto [Parking],4,78,78,74,81
TOYOTA,AYGO X HATCHBACK,1.0 VVT-i Exclusive 5dr,4,78,78,74,81
TOYOTA,AYGO X HATCHBACK,1.0 VVT-i Exclusive 5dr [Canvas/JBL],4,78,78,74,81
TOYOTA,AYGO X HATCHBACK,1.0 VVT-i Exclusive 5dr [Canvas],4,78,78,74,81
TOYOTA,AYGO X HATCHBACK,1.0 VVT-i Exclusive 5dr Auto,4,78,78,74,81
TOYOTA,AYGO X HATCHBACK,1.0 VVT-i Exclusive 5dr Auto [Canvas],4,78,78,74,81
TOYOTA,AYGO X HATCHBACK,1.0 VVT-i Pure 5dr,4,78,78,74,81
TOYOTA,AYGO X HATCHBACK,1.0 VVT-i Pure 5dr Auto,4,78,78,74,81
TOYOTA,BZ4X ELECTRIC HATCHBACK,150kW Motion 71.4kWh 5dr Auto [11kW],5,88,87,79,91
TOYOTA,BZ4X ELECTRIC HATCHBACK,150kW Motion 71.4kWh 5dr Auto [11kW] Pan/Bi-tone,5,88,87,79,91
TOYOTA,BZ4X ELECTRIC HATCHBACK,150kW Pure 71.4kWh 5dr Auto [11kW],5,88,87,79,91
TOYOTA,BZ4X ELECTRIC HATCHBACK,150kW Vision 71.4kWh 5dr Auto [11kW],5,88,87,79,91
TOYOTA,BZ4X ELECTRIC HATCHBACK,150kW Vision 71.4kWh 5dr Auto [11kW] Pan/Bi-tone,5,88,87,79,91
TOYOTA,BZ4X ELECTRIC HATCHBACK,160kW Motion 71.4kWh 5dr Auto AWD 11kW Pan/Bi-tone,5,88,87,79,91
TOYOTA,BZ4X ELECTRIC HATCHBACK,160kW Vision 71.4kWh 5dr Auto AWD 11kW Pan/Bi-tone,5,88,87,79,91
TOYOTA,C-HR HATCHBACK,1.8 Hybrid Design 5dr CVT,5,85,86,86,79
TOYOTA,C-HR HATCHBACK,1.8 Hybrid Design 5dr CVT [Bi-tone],5,85,86,86,79
TOYOTA,C-HR HATCHBACK,1.8 Hybrid Design 5dr CVT [Pan Roof],5,85,86,86,79
TOYOTA,C-HR HATCHBACK,1.8 Hybrid Excel 5dr CVT,5,85,86,86,79
TOYOTA,C-HR HATCHBACK,1.8 Hybrid Excel 5dr CVT [JBL/Tech Pack],5,85,86,86,79
TOYOTA,C-HR HATCHBACK,1.8 Hybrid Icon 5dr CVT,5,85,86,86,79
TOYOTA,C-HR HATCHBACK,2.0 Hybrid GR Sport 5dr CVT,5,85,86,86,79
TOYOTA,C-HR HATCHBACK,2.0 Hybrid GR Sport 5dr CVT [Safety/Premium Pack],5,85,86,86,79
TOYOTA,C-HR HATCHBACK,2.0 PHEV Design 5dr CVT,5,85,86,86,79
TOYOTA,C-HR HATCHBACK,2.0 PHEV Design 5dr CVT [Bi-tone],5,85,86,86,79
TOYOTA,C-HR HATCHBACK,2.0 PHEV Design 5dr CVT [Pan Roof],5,85,86,86,79
TOYOTA,C-HR HATCHBACK,2.0 PHEV Excel 5dr CVT,5,85,86,86,79
TOYOTA,C-HR HATCHBACK,2.0 PHEV Excel 5dr CVT [JBL/Tech Pack],5,85,86,86,79
TOYOTA,C-HR HATCHBACK,2.0 PHEV GR Sport 5dr CVT,5,85,86,86,79
TOYOTA,C-HR HATCHBACK,2.0 PHEV GR Sport 5dr CVT [Safety/Premium Pack],5,85,86,86,79
TOYOTA,C-HR HATCHBACK SPECIAL EDITIONS,1.8 Hybrid Orange Edition 5dr CVT,5,85,86,86,79
TOYOTA,C-HR HATCHBACK SPECIAL EDITIONS,2.0 PHEV Orange Edition 5dr CVT,5,85,86,86,79
TOYOTA,RAV4 ESTATE,2.5 PHEV Design 5dr CVT,5,93,87,85,77
TOYOTA,RAV4 ESTATE,2.5 PHEV GR Sport 5dr CVT,5,93,87,85,77
TOYOTA,RAV4 ESTATE,2.5 PHEV GR Sport 5dr CVT [Bi-Tone],5,93,87,85,77
TOYOTA,RAV4 ESTATE,2.5 PHEV GR Sport 5dr CVT [Pan Roof],5,93,87,85,77
TOYOTA,URBAN CRUISER ELECTRIC ESTATE,106kW Icon 49kWh 5dr Auto,4,77,85,79,72
TOYOTA,URBAN CRUISER ELECTRIC ESTATE,128kW Design 61kWh 5dr Auto,4,77,85,79,72
TOYOTA,URBAN CRUISER ELECTRIC ESTATE,128kW Excel 61kWh 5dr Auto,4,77,85,79,72
TOYOTA,URBAN CRUISER ELECTRIC ESTATE,128kW Excel 61kWh 5dr Auto [Bi-tone],4,77,85,79,72
TOYOTA,YARIS CROSS ESTATE,1.5 Hybrid 130 Design 5dr CVT,5,86,84,78,81
TOYOTA,YARIS CROSS ESTATE,1.5 Hybrid 130 Design 5dr CVT [Safety Pack],5,86,84,78,81
TOYOTA,YARIS CROSS ESTATE,1.5 Hybrid 130 Excel 5dr CVT,5,86,84,78,81
TOYOTA,YARIS CROSS ESTATE,1.5 Hybrid 130 Excel 5dr CVT [Panoramic Roof],5,86,84,78,81
TOYOTA,YARIS CROSS ESTATE,1.5 Hybrid 130 Excel AWD 5dr CVT,5,86,84,78,81
TOYOTA,YARIS CROSS ESTATE,1.5 Hybrid 130 Excel AWD 5dr CVT [Panoramic Roof],5,86,84,78,81
TOYOTA,YARIS CROSS ESTATE,1.5 Hybrid 130 GR Sport 5dr CVT,5,86,84,78,81
TOYOTA,YARIS CROSS ESTATE,1.5 Hybrid 130 GR Sport 5dr CVT [Advanced Safety],5,86,84,78,81
TOYOTA,YARIS CROSS ESTATE,1.5 Hybrid 130 GR Sport 5dr CVT [Pan/Adv Safety],5,86,84,78,81
TOYOTA,YARIS CROSS ESTATE,1.5 Hybrid 130 GR Sport 5dr CVT [Panoramic Roof],5,86,84,78,81
TOYOTA,YARIS CROSS ESTATE,1.5 Hybrid Design 5dr CVT,5,86,84,78,81
TOYOTA,YARIS CROSS ESTATE,1.5 Hybrid Design 5dr CVT [Safety Pack],5,86,84,78,81
TOYOTA,YARIS CROSS ESTATE,1.5 Hybrid Icon 5dr CVT,5,86,84,78,81
TOYOTA,YARIS HATCHBACK,1.5 Hybrid 130 Excel 5dr CVT,5,86,81,78,85
TOYOTA,YARIS HATCHBACK,1.5 Hybrid 130 Excel 5dr CVT [Panoramic Roof],5,86,81,78,85
TOYOTA,YARIS HATCHBACK,1.5 Hybrid 130 GR Sport 5dr CVT,5,86,81,78,85
TOYOTA,YARIS HATCHBACK,1.5 Hybrid 130 GR Sport 5dr CVT [Bi-tone],5,86,81,78,85
TOYOTA,YARIS HATCHBACK,1.5 Hybrid 130 GR Sport 5dr CVT [Safety Pack],5,86,81,78,85
TOYOTA,YARIS HATCHBACK,1.5 Hybrid 130 GR Sport 5dr CVT [Safety/Bi-tone],5,86,81,78,85
TOYOTA,YARIS HATCHBACK,1.5 Hybrid Design 5dr CVT,5,86,81,78,85
TOYOTA,YARIS HATCHBACK,1.5 Hybrid Design 5dr CVT [Safety Pack],5,86,81,78,85
TOYOTA,YARIS HATCHBACK,1.5 Hybrid Icon 5dr CVT,5,86,81,78,85
VAUXHALL,ASTRA ELECTRIC HATCHBACK,115kW Griffin [Tech Pack] 54kWh 5dr Auto,4,80,82,67,66
VAUXHALL,ASTRA ELECTRIC HATCHBACK,115kW GS 54kWh 5dr Auto,4,80,82,67,66
VAUXHALL,ASTRA ELECTRIC HATCHBACK,115kW Ultimate 54kWh 5dr Auto,4,80,82,67,66
VAUXHALL,ASTRA ELECTRIC SPORTS TOURER,115kW Griffin [Tech Pack] 54kWh 5dr Auto,4,80,82,67,66
VAUXHALL,ASTRA ELECTRIC SPORTS TOURER,115kW GS 54kWh 5dr Auto,4,80,82,67,66
VAUXHALL,ASTRA ELECTRIC SPORTS TOURER,115kW Ultimate 54kWh 5dr Auto,4,80,82,67,66
VAUXHALL,ASTRA HATCHBACK,1.2 Turbo 130 Griffin [Tech Pack] 5dr,4,80,82,67,66
VAUXHALL,ASTRA HATCHBACK,1.2 Turbo 130 Griffin [Tech Pack] 5dr Auto,4,80,82,67,66
VAUXHALL,ASTRA HATCHBACK,1.2 Turbo 130 GS 5dr,4,80,82,67,66
VAUXHALL,ASTRA HATCHBACK,1.2 Turbo 130 GS 5dr Auto,4,80,82,67,66
VAUXHALL,ASTRA HATCHBACK,1.2 Turbo 130 Ultimate 5dr,4,80,82,67,66
VAUXHALL,ASTRA HATCHBACK,1.2 Turbo 130 Ultimate 5dr Auto,4,80,82,67,66
VAUXHALL,ASTRA HATCHBACK,1.2 Turbo Hybrid 145 Griffin [Tech Pk] 5dr e-DCT6,4,80,82,67,66
VAUXHALL,ASTRA HATCHBACK,1.2 Turbo Hybrid 145 GS 5dr e-DCT6,4,80,82,67,66
VAUXHALL,ASTRA HATCHBACK,1.2 Turbo Hybrid 145 Ultimate 5dr e-DCT6,4,80,82,67,66
