url,vehicle,rescue_sheet,advanced_ecall,multi_collision_brake,submergence_check,system_name,type,operational_from,speed_limit_information_function,speed_control_function,applies_to,fatigue,emergency_lane_keeping,lane_keep_assist,human_machine_interface,sensor_used,distraction,impairment,additional_information,avoidance,warning_function,speed_limitation_function,warning,lka_confirmation_test,ldw_confirmation_test,variant
https://www.euroncap.com/en/results/citroën/c5+aircross/56158,Citroën C5 Aircross,"Available, ISO compliant",Available,Available,Partially Compliant,Active Safety Brake,Autonomous emergency braking and forward collision warning,8 km/h,"Camera & Map, subsigns supported",Intelligent Speed Limiter not default ON (accurate to 5km/h),Front and rear seats,Drowsiness,Good,Good,Good,camera and radar,,,,,,,,,,
https://www.euroncap.com/en/results/zeekr/7x/55589,ZEEKR 7X,"Available, ISO compliant",Available,Available,Compliant,Collision Mitigation Support Front,Autonomous emergency braking and forward collision warning,4 km/h,"Camera based, subsigns supported",Intelligent ACC (accurate to 5km/h),Front and rear seats,"Drowsiness, Microsleep and Sleep",Good,Good,Good,Camera,Long & Short Distraction and Phone Use,,,,,,,,,
https://www.euroncap.com/en/results/polestar/4/55588,Polestar 4,"Available, ISO compliant",Available,Available,Compliant,Collision Mitigation Support Front,Autonomous emergency braking and forward collision warning,5 km/h,"Camera based, subsigns supported",Intelligent ACC (accurate to 5km/h),Front and rear seats,Drowsiness,Good,Good,Good,camera,,,,,,,,,,
https://www.euroncap.com/en/results/omoda/9/55587,OMODA 9,"Available, ISO compliant",Available,Available,Compliant,AEB,Autonomous emergency braking and forward collision warning,8 km/h,"Camera & Map, subsigns supported",Intelligent ACC (accurate to 5km/h),Front and rear seats,Microsleep and Sleep,Good,Good,Good,camera,Short Distraction and Phone Use,,,,,,,,,
https://www.euroncap.com/en/results/chery/tiggo+7/55574,Chery TIGGO 7,"Available, ISO compliant",Available,Available,Compliant,AEB,Autonomous emergency braking and forward collision warning,5 km/h,"Camera & Map, subsigns supported",Intelligent ACC (accurate to 5km/h),Front and rear seats,Microsleep and Sleep,Adequate,Good,Good,camera,Short Distraction and Phone Use,,,,,,,,,
https://www.euroncap.com/en/results/ford/tourneo+courier/55583,Ford Tourneo Courier,"Available, ISO compliant",Available,Available,Partially Compliant,Pre-Collision System,Autonomous emergency braking and forward collision warning,4 km/h,"Camera & Map, subsigns supported",Intelligent Speed Limiter not default ON (accurate to 5km/h),Front and rear seats,Drowsiness,Good,Good,Good,camera and radar,,,,,,,,,,
https://www.euroncap.com/en/results/tesla/model+3/54892,Tesla Model 3,"Available, ISO compliant",Available,Available,Compliant,Collision Avoidance Assist,Autonomous emergency braking and forward collision warning,1 km/h,"Camera & Map, subsigns supported",Intelligent ACC (accurate to 5km/h),Front and rear seats,Drowsiness,Good,Good,Good,camera,,,,,,,,,,
https://www.euroncap.com/en/results/mg/mgs5+ev/54886,MG MGS5 EV,"Available, ISO compliant",Available,Available,Partially Compliant,AEB C2C,Autonomous emergency braking and forward collision warning,4 km/h,"Camera & Map, subsigns supported",Intelligent Speed Limiter not default ON (accurate to 5km/h),Front and rear seats,"Drowsiness, Microsleep and Sleep",Good,Good,Good,camera and radar,,,,,,,,,,
https://www.euroncap.com/en/results/vw/tayron/54898,VW Tayron,"Available, ISO compliant",Available,Available,Compliant,Front Assist,Autonomous emergency braking,4 km/h,"Camera & Map, subsigns supported",Intelligent Speed Limiter not default ON (accurate to 5km/h),Front and rear seats,Drowsiness,Good,Good,Good,camera and radar,,,,,,,,,,
https://www.euroncap.com/en/results/audi/q5/54878,Audi Q5,"Available, ISO compliant",Available,Available,Compliant,Active Front Assist,Autonomous emergency braking and forward collision warning,5 km/h,"Camera & Map, subsigns supported",Intelligent Speed Limiter not default ON (accurate to 5km/h),Front and rear seats,Drowsiness,Good,Good,Good,camera and radar,,,,,,,,,,
