amanufacturer,bmodel,cderivative,dncap_safetystar_rating,encap_safetyadult_occupants%_score,fncap_safetychild_occupants%_score,gncap_safetypedestrians%_score,hncap_safetysafety_assist%_score
FORD,EXPLORER ELECTRIC ESTATE,125kW Style 52kWh 5dr Auto [Comfort Pack],5,89,86,80,72
FORD,EXPLORER ELECTRIC ESTATE,125kW Style 52kWh 5dr Auto [Comfort/Driver Assist],5,89,86,80,72
FORD,EXPLORER ELECTRIC ESTATE,125kW Style 52kWh 5dr Auto [Driver Assist Pack],5,89,86,80,72
FORD,EXPLORER ELECTRIC ESTATE,210kW Premium 77kWh 5dr Auto,5,89,86,80,72
FORD,EXPLORER ELECTRIC ESTATE,210kW Premium 77kWh 5dr Auto [Driver Assist Pack],5,89,86,80,72
FORD,EXPLORER ELECTRIC ESTATE,210kW Select 77kWh 5dr Auto,5,89,86,80,72
FORD,EXPLORER ELECTRIC ESTATE,210kW Select 77kWh 5dr Auto [Driver Assist Pack],5,89,86,80,72
FORD,EXPLORER ELECTRIC ESTATE,250kW Premium 79kWh AWD 5dr Auto,5,89,86,80,72
FORD,EXPLORER ELECTRIC ESTATE,250kW Premium 79kWh AWD 5dr Auto [Driver Assist],5,89,86,80,72
FORD,EXPLORER ELECTRIC ESTATE,250kW Select 79kWh AWD 5dr Auto,5,89,86,80,72
FORD,EXPLORER ELECTRIC ESTATE,250kW Select 79kWh AWD 5dr Auto [Driver Assist],5,89,86,80,72
FORD,MUSTANG MACH-E ESTATE,197kW Select 72kWh RWD 5dr Auto,5,92,86,69,82
FORD,MUSTANG MACH-E ESTATE,197kW Select 72kWh RWD 5dr Auto [Tech+],5,92,86,69,82
FORD,MUSTANG MACH-E ESTATE,198kW Select 72kWh RWD 5dr Auto,5,92,86,69,82
FORD,MUSTANG MACH-E ESTATE,198kW Select 72kWh RWD 5dr Auto [Tech+],5,92,86,69,82
FORD,MUSTANG MACH-E ESTATE,216kW Premium 91kWh RWD 5dr Auto,5,92,86,69,82
FORD,MUSTANG MACH-E ESTATE,216kW Premium 91kWh RWD 5dr Auto [Tech+],5,92,86,69,82
FORD,MUSTANG MACH-E ESTATE,258kW Premium 91kWh AWD 5dr Auto,5,92,86,69,82
FORD,MUSTANG MACH-E ESTATE,272kW Premium 91kWh AWD 5dr Auto,5,92,86,69,82
FORD,MUSTANG MACH-E ESTATE,276kW Premium 88kWh AWD 5dr Auto [Tech+],5,92,86,69,82
FORD,MUSTANG MACH-E ESTATE,358kW GT 91kWh AWD 5dr Auto [Pan Roof],5,92,86,69,82
FORD,MUSTANG MACH-E ESTATE,358kW GT 91kWh AWD 5dr Auto [Rally Pack],5,92,86,69,82
FORD,PUMA GEN-E ELECTRIC HATCHBACK,124kW Premium 47kWh 5dr Auto,4,75,84,70,69
FORD,PUMA GEN-E ELECTRIC HATCHBACK,124kW Premium 47kWh 5dr Auto [Adv Driver Assist],4,75,84,70,69
FORD,PUMA GEN-E ELECTRIC HATCHBACK,124kW Select 47kWh 5dr Auto,4,75,84,70,69
FORD,PUMA GEN-E ELECTRIC HATCHBACK,124kW Select 47kWh 5dr Auto [Adv Driver Assist],4,75,84,70,69
FORD,PUMA GEN-E ELECTRIC HATCHBACK,124kW Select 47kWh 5dr Auto [Comfort Pack],4,75,84,70,69
FORD,PUMA GEN-E ELECTRIC HATCHBACK,124kW Select 47kWh 5dr Auto [Comfort/Adv Drv Asst],4,75,84,70,69
FORD,TOURNEO COURIER ELECTRIC ESTATE,100kW Active 43kWh 5dr Auto,4,85,78,78,66
FORD,TOURNEO COURIER ELECTRIC ESTATE,100kW Titanium 43kWh 5dr Auto,4,85,78,78,66
FORD,TOURNEO COURIER ELECTRIC ESTATE,100kW Titanium 43kWh 5dr Auto [Driver Assist],4,85,78,78,66
GEELY,EX5 ESTATE,160kW Max 60kWh 5dr Auto,5,86,87,83,83
GEELY,EX5 ESTATE,160kW Pro 60kWh 5dr Auto,5,86,87,83,83
GEELY,EX5 ESTATE,160kW SE 60kWh 5dr Auto,5,86,87,83,83
GENESIS,GV60 ESTATE,168kW Pure 84kWh 5dr Auto,5,89,87,63,88
GENESIS,GV60 ESTATE,168kW Pure 84kWh 5dr Auto [Comfort/Innovation],5,89,87,63,88
GENESIS,GV60 ESTATE,168kW Pure 84kWh 5dr Auto [Comfort],5,89,87,63,88
GENESIS,GV60 ESTATE,168kW Pure 84kWh 5dr Auto [Innovation],5,89,87,63,88
GENESIS,GV60 ESTATE,234kW Sport 84kWh 5dr AWD Auto,5,89,87,63,88
GENESIS,GV60 ESTATE,234kW Sport 84kWh 5dr AWD Auto [Comf/Innovation],5,89,87,63,88
GENESIS,GV60 ESTATE,234kW Sport 84kWh 5dr AWD Auto [Comfort],5,89,87,63,88
GENESIS,GV60 ESTATE,234kW Sport 84kWh 5dr AWD Auto [Innovation],5,89,87,63,88
GENESIS,GV60 ESTATE,360kW Performance 84kWh 5dr AWD Auto,5,89,87,63,88
GENESIS,GV70 ELECTRIC ESTATE,360kW Dynamic 84kWh 5dr Auto AWD,5,89,87,64,87
GENESIS,GV70 ELECTRIC ESTATE,360kW Luxury 84kWh 5dr Auto AWD,5,89,87,64,87
GENESIS,GV70 ELECTRIC ESTATE,360kW Luxury 84kWh 5dr Auto AWD [Comfort Pack],5,89,87,64,87
GENESIS,GV70 ELECTRIC ESTATE,360kW Pure 84kWh 5dr Auto AWD,5,89,87,64,87
GWM,ORA 03 HATCHBACK,126kW GT 63kWh 5dr Auto,5,92,83,74,93
GWM,ORA 03 HATCHBACK,126kW Pro 63kWh 5dr Auto,5,92,83,74,93
GWM,ORA 03 HATCHBACK,126kW Pure 48kWh 5dr Auto,5,92,83,74,93
